[   100,  0.0000074]     0.8087,     0.8813,     0.9027,     3.9268, 
[   200,  0.0000098]     0.8363,     0.9046,     0.9247,     3.2516, 
[   300,  0.0000122]     0.8492,     0.9165,     0.9346,     2.9314, 
[   400,  0.0000146]     0.8518,     0.9194,     0.9382,     2.2468, 
[   500,  0.0000170]     0.8453,     0.9162,     0.9360,     2.6103, 
[   600,  0.0000194]     0.8512,     0.9185,     0.9374,     2.7234, 
[   700,  0.0000218]     0.8508,     0.9211,     0.9404,     2.4875, 
[   800,  0.0000242]     0.8509,     0.9197,     0.9390,     2.5758, 
[   900,  0.0000266]     0.8536,     0.9222,     0.9408,     2.3105, 
[  1000,  0.0000290]     0.8487,     0.9176,     0.9368,     2.6295, 
[  1100,  0.0000314]     0.8538,     0.9225,     0.9423,     2.4229, 
[  1200,  0.0000338]     0.8484,     0.9201,     0.9394,     2.2201, 
[  1300,  0.0000362]     0.8583,     0.9243,     0.9424,     2.1712, 
[  1400,  0.0000385]     0.8598,     0.9251,     0.9422,     2.3657, 
[  1500,  0.0000409]     0.8594,     0.9242,     0.9428,     2.3988, 
[  1600,  0.0000433]     0.8501,     0.9216,     0.9408,     2.4586, 
[  1700,  0.0000457]     0.8651,     0.9306,     0.9479,     2.1311, 
[  1800,  0.0000481]     0.8573,     0.9239,     0.9420,     2.4913, 
[  1900,  0.0000505]     0.8509,     0.9248,     0.9440,     2.1536, 
[  2000,  0.0000529]     0.8670,     0.9331,     0.9501,     2.0331, 
[  2100,  0.0000553]     0.8551,     0.9238,     0.9431,     2.3474, 
[  2200,  0.0000577]     0.8530,     0.9222,     0.9403,     2.9799, 
[  2300,  0.0000601]     0.8513,     0.9217,     0.9414,     2.1982, 
[  2400,  0.0000625]     0.8697,     0.9355,     0.9519,     1.9396, 
[  2500,  0.0000649]     0.8637,     0.9302,     0.9470,     2.2509, 
[  2600,  0.0000673]     0.8603,     0.9304,     0.9479,     1.8779, 
[  2700,  0.0000697]     0.8576,     0.9252,     0.9430,     2.4015, 
[  2800,  0.0000721]     0.8588,     0.9253,     0.9441,     2.6351, 
[  2900,  0.0000745]     0.8635,     0.9290,     0.9468,     2.1157, 
[  3000,  0.0000769]     0.8526,     0.9237,     0.9422,     2.4122, 
[  3100,  0.0000793]     0.8548,     0.9236,     0.9423,     2.4225, 
[  3200,  0.0000817]     0.8629,     0.9314,     0.9500,     1.8828, 
[  3300,  0.0000841]     0.8557,     0.9224,     0.9412,     2.4995, 
[  3400,  0.0000865]     0.8663,     0.9321,     0.9495,     1.9532, 
[  3500,  0.0000889]     0.8553,     0.9265,     0.9452,     2.2187, 
[  3600,  0.0000913]     0.8572,     0.9258,     0.9453,     2.1401, 
[  3700,  0.0000937]     0.8633,     0.9300,     0.9483,     1.7759, 
[  3800,  0.0000961]     0.8567,     0.9249,     0.9436,     2.5226, 
[  3900,  0.0000985]     0.8589,     0.9276,     0.9455,     2.2290, 
[  4000,  0.0001009]     0.8484,     0.9222,     0.9424,     2.1901, 
[  4100,  0.0001033]     0.8582,     0.9260,     0.9454,     2.2604, 
[  4200,  0.0001057]     0.8677,     0.9320,     0.9494,     2.0853, 
[  4300,  0.0001081]     0.8611,     0.9315,     0.9495,     1.6534, 
[  4400,  0.0001105]     0.8640,     0.9325,     0.9498,     1.9215, 
[  4500,  0.0001129]     0.8385,     0.9132,     0.9346,     2.6801, 
[  4600,  0.0001153]     0.8567,     0.9260,     0.9446,     2.5600, 
[  4700,  0.0001177]     0.8586,     0.9283,     0.9472,     1.9641, 
[  4800,  0.0001201]     0.8576,     0.9256,     0.9441,     2.1536, 
[  4900,  0.0001225]     0.8557,     0.9265,     0.9461,     2.0355, 
[  5000,  0.0001249]     0.8495,     0.9186,     0.9387,     2.2173, 
[  5100,  0.0001249]     0.8589,     0.9272,     0.9456,     2.3454, 
[  5200,  0.0001247]     0.8686,     0.9335,     0.9507,     1.9731, 
[  5300,  0.0001246]     0.8628,     0.9307,     0.9497,     1.9678, 
[  5400,  0.0001245]     0.8555,     0.9298,     0.9486,     2.2347, 
[  5500,  0.0001243]     0.8590,     0.9273,     0.9460,     2.2176, 
[  5600,  0.0001242]     0.8596,     0.9256,     0.9437,     2.3422, 
[  5700,  0.0001241]     0.8604,     0.9287,     0.9461,     2.2621, 
[  5800,  0.0001240]     0.8523,     0.9228,     0.9421,     2.3725, 
[  5900,  0.0001238]     0.8643,     0.9334,     0.9512,     1.8416, 
[  6000,  0.0001237]     0.8516,     0.9248,     0.9441,     1.9312, 
[  6100,  0.0001236]     0.8552,     0.9242,     0.9420,     2.3863, 
[  6200,  0.0001234]     0.8664,     0.9345,     0.9514,     1.7717, 
[  6300,  0.0001233]     0.8533,     0.9272,     0.9480,     2.0040, 
[  6400,  0.0001232]     0.8704,     0.9366,     0.9540,     1.4879, 
[  6500,  0.0001230]     0.8527,     0.9230,     0.9420,     2.7027, 
[  6600,  0.0001229]     0.8487,     0.9220,     0.9409,     3.2028, 
[  6700,  0.0001228]     0.8606,     0.9297,     0.9487,     1.8999, 
[  6800,  0.0001226]     0.8570,     0.9256,     0.9455,     1.9315, 
[  6900,  0.0001225]     0.8709,     0.9360,     0.9523,     1.9386, 
[  7000,  0.0001224]     0.8497,     0.9213,     0.9401,     2.6166, 
[  7100,  0.0001222]     0.8662,     0.9337,     0.9516,     1.7298, 
[  7200,  0.0001221]     0.8644,     0.9306,     0.9477,     2.0314, 
[  7300,  0.0001220]     0.8517,     0.9202,     0.9387,     2.4741, 
[  7400,  0.0001219]     0.8614,     0.9288,     0.9469,     2.2649, 
[  7500,  0.0001217]     0.8622,     0.9298,     0.9471,     2.5800, 
[  7600,  0.0001216]     0.8619,     0.9296,     0.9482,     1.8460, 
[  7700,  0.0001215]     0.8644,     0.9314,     0.9488,     2.0650, 
[  7800,  0.0001213]     0.8545,     0.9254,     0.9447,     1.9721, 
[  7900,  0.0001212]     0.8617,     0.9314,     0.9496,     1.8511, 
[  8000,  0.0001211]     0.8532,     0.9244,     0.9446,     2.3521, 
[  8100,  0.0001209]     0.8592,     0.9268,     0.9450,     2.2614, 
[  8200,  0.0001208]     0.8637,     0.9328,     0.9502,     2.0798, 
[  8300,  0.0001207]     0.8624,     0.9340,     0.9523,     1.7406, 
[  8400,  0.0001205]     0.8675,     0.9356,     0.9526,     2.2879, 
[  8500,  0.0001204]     0.8610,     0.9314,     0.9494,     2.1418, 
[  8600,  0.0001203]     0.8531,     0.9249,     0.9449,     2.2226, 
[  8700,  0.0001201]     0.8641,     0.9307,     0.9490,     1.7708, 
[  8800,  0.0001200]     0.8602,     0.9315,     0.9500,     1.8920, 
[  8900,  0.0001199]     0.8536,     0.9222,     0.9412,     2.3868, 
[  9000,  0.0001197]     0.8656,     0.9333,     0.9507,     2.2858, 
[  9100,  0.0001196]     0.8604,     0.9297,     0.9486,     2.1085, 
[  9200,  0.0001195]     0.8650,     0.9332,     0.9507,     1.9329, 
[  9300,  0.0001194]     0.8575,     0.9270,     0.9462,     2.1986, 
[  9400,  0.0001192]     0.8624,     0.9297,     0.9470,     2.1776, 
[  9500,  0.0001191]     0.8711,     0.9361,     0.9544,     1.9178, 
[  9600,  0.0001190]     0.8562,     0.9286,     0.9472,     2.2190, 
[  9700,  0.0001188]     0.8578,     0.9273,     0.9464,     2.1090, 
[  9800,  0.0001187]     0.8530,     0.9269,     0.9469,     1.8235, 
[  9900,  0.0001186]     0.8642,     0.9310,     0.9489,     1.8962, 
[ 10000,  0.0001184]     0.8584,     0.9266,     0.9446,     2.4870, 
[ 10100,  0.0001183]     0.8686,     0.9356,     0.9532,     1.7570, 
[ 10200,  0.0001182]     0.8635,     0.9341,     0.9526,     1.7296, 
[ 10300,  0.0001180]     0.8608,     0.9281,     0.9465,     1.9205, 
[ 10400,  0.0001179]     0.8677,     0.9340,     0.9520,     1.8378, 
[ 10500,  0.0001178]     0.8563,     0.9248,     0.9434,     2.4218, 
[ 10600,  0.0001176]     0.8573,     0.9289,     0.9480,     1.8438, 
[ 10700,  0.0001175]     0.8727,     0.9375,     0.9544,     1.9370, 
[ 10800,  0.0001174]     0.8591,     0.9256,     0.9441,     2.1124, 
[ 10900,  0.0001173]     0.8734,     0.9373,     0.9539,     1.8306, 
[ 11000,  0.0001171]     0.8569,     0.9286,     0.9475,     1.9235, 
[ 11100,  0.0001170]     0.8688,     0.9350,     0.9523,     2.2349, 
[ 11200,  0.0001169]     0.8540,     0.9267,     0.9458,     2.2451, 
[ 11300,  0.0001167]     0.8641,     0.9304,     0.9481,     1.9087, 
[ 11400,  0.0001166]     0.8618,     0.9338,     0.9536,     1.7465, 
[ 11500,  0.0001165]     0.8724,     0.9348,     0.9515,     2.1766, 
[ 11600,  0.0001163]     0.8562,     0.9272,     0.9465,     1.9028, 
[ 11700,  0.0001162]     0.8603,     0.9310,     0.9506,     1.7891, 
[ 11800,  0.0001161]     0.8722,     0.9370,     0.9539,     1.7550, 
[ 11900,  0.0001159]     0.8611,     0.9302,     0.9491,     1.8582, 
[ 12000,  0.0001158]     0.8754,     0.9386,     0.9544,     1.8016, 
[ 12100,  0.0001157]     0.8558,     0.9293,     0.9492,     1.7977, 
[ 12200,  0.0001155]     0.8444,     0.9201,     0.9426,     2.1476, 
[ 12300,  0.0001154]     0.8627,     0.9316,     0.9502,     1.8481, 
[ 12400,  0.0001153]     0.8630,     0.9309,     0.9493,     1.8022, 
[ 12500,  0.0001151]     0.8684,     0.9358,     0.9528,     1.9301, 
[ 12600,  0.0001150]     0.8623,     0.9288,     0.9452,     2.5598, 
[ 12700,  0.0001149]     0.8653,     0.9334,     0.9524,     2.0886, 
[ 12800,  0.0001148]     0.8596,     0.9289,     0.9477,     2.0353, 
[ 12900,  0.0001146]     0.8617,     0.9301,     0.9487,     2.2367, 
[ 13000,  0.0001145]     0.8710,     0.9369,     0.9539,     1.9113, 
[ 13100,  0.0001144]     0.8616,     0.9292,     0.9475,     2.2038, 
[ 13200,  0.0001142]     0.8549,     0.9277,     0.9466,     2.3017, 
[ 13300,  0.0001141]     0.8768,     0.9389,     0.9560,     1.4513, 
[ 13400,  0.0001140]     0.8666,     0.9332,     0.9502,     2.0683, 
[ 13500,  0.0001138]     0.8476,     0.9244,     0.9449,     1.9731, 
[ 13600,  0.0001137]     0.8625,     0.9310,     0.9490,     1.9032, 
[ 13700,  0.0001136]     0.8796,     0.9434,     0.9600,     1.3434, 
[ 13800,  0.0001134]     0.8538,     0.9256,     0.9449,     2.4445, 
[ 13900,  0.0001133]     0.8644,     0.9319,     0.9508,     1.8871, 
[ 14000,  0.0001132]     0.8749,     0.9402,     0.9572,     1.6220, 
[ 14100,  0.0001130]     0.8574,     0.9274,     0.9464,     2.1436, 
[ 14200,  0.0001129]     0.8552,     0.9241,     0.9431,     2.5415, 
[ 14300,  0.0001128]     0.8647,     0.9347,     0.9531,     1.5991, 
[ 14400,  0.0001127]     0.8683,     0.9321,     0.9488,     2.0520, 
[ 14500,  0.0001125]     0.8650,     0.9356,     0.9540,     1.6317, 
[ 14600,  0.0001124]     0.8693,     0.9336,     0.9529,     1.5991, 
[ 14700,  0.0001123]     0.8726,     0.9386,     0.9563,     1.6061, 
[ 14800,  0.0001121]     0.8623,     0.9301,     0.9497,     1.6952, 
[ 14900,  0.0001120]     0.8564,     0.9293,     0.9485,     2.3452, 
[ 15000,  0.0001119]     0.8708,     0.9359,     0.9530,     1.8383, 
[ 15100,  0.0001117]     0.8677,     0.9366,     0.9546,     1.7491, 
[ 15200,  0.0001116]     0.8574,     0.9264,     0.9456,     1.9316, 
[ 15300,  0.0001115]     0.8661,     0.9331,     0.9517,     1.6453, 
[ 15400,  0.0001113]     0.8648,     0.9312,     0.9491,     2.2034, 
[ 15500,  0.0001112]     0.8636,     0.9335,     0.9517,     1.8478, 
[ 15600,  0.0001111]     0.8684,     0.9359,     0.9541,     1.4992, 
[ 15700,  0.0001109]     0.8645,     0.9353,     0.9542,     1.5649, 
[ 15800,  0.0001108]     0.8718,     0.9360,     0.9528,     1.8815, 
[ 15900,  0.0001107]     0.8626,     0.9316,     0.9501,     1.8302, 
[ 16000,  0.0001105]     0.8634,     0.9333,     0.9523,     1.8861, 
[ 16100,  0.0001104]     0.8563,     0.9263,     0.9458,     2.2906, 
[ 16200,  0.0001103]     0.8692,     0.9346,     0.9517,     1.9170, 
[ 16300,  0.0001102]     0.8667,     0.9344,     0.9522,     1.7221, 
[ 16400,  0.0001100]     0.8658,     0.9330,     0.9510,     2.1080, 
[ 16500,  0.0001099]     0.8612,     0.9275,     0.9463,     2.1750, 
[ 16600,  0.0001098]     0.8774,     0.9436,     0.9601,     1.2682, 
[ 16700,  0.0001096]     0.8579,     0.9291,     0.9487,     2.0585, 
[ 16800,  0.0001095]     0.8678,     0.9351,     0.9533,     1.7079, 
[ 16900,  0.0001094]     0.8732,     0.9415,     0.9591,     1.6107, 
[ 17000,  0.0001092]     0.8605,     0.9281,     0.9463,     2.1532, 
[ 17100,  0.0001091]     0.8636,     0.9342,     0.9526,     1.5988, 
[ 17200,  0.0001090]     0.8652,     0.9345,     0.9520,     1.8074, 
[ 17300,  0.0001088]     0.8628,     0.9308,     0.9488,     2.0213, 
[ 17400,  0.0001087]     0.8761,     0.9386,     0.9553,     1.7368, 
